architecture,best_val_mcc,val_mcc,val_f1,val_roc_auc,test_mcc,test_f1,test_roc_auc
gin,0.5609368123898547,0.5609368123898547,0.7997876669910643,0.8413672351687064,0.5641958688616364,0.8016561687882658,0.8417462134967497
pna,0.5608741238600133,0.5608741238600133,0.8000882028665932,0.8414286324806977,0.5634718751850968,0.801599156488885,0.841912495857133
gat,0.5592485345150515,0.5592485345150515,0.7970688725049452,0.8416313687920811,0.565495932705714,0.8002152080344332,0.8417979841712353
