epoch,train_loss,train_mcc,train_accuracy,val_mcc,val_accuracy,test_mcc,test_accuracy,learning_rate
1,0.7103738337755203,0.0027146108185923503,0.5043761925278513,0.0,0.5124329115170614,0.0,0.5123836722635284,0.0029953760005996923
2,0.6528646796941757,0.19611901319358768,0.595445312980858,0.49522950330756865,0.7470579546014082,0.4955735460094315,0.7473041508690729,0.002981532510892707
3,0.524549375474453,0.5110827845078433,0.7551424878439097,0.536357763235716,0.7650795213944557,0.5464547563099522,0.7697572504800827,0.002958554880596515
4,0.5078722544014453,0.5328041626045084,0.7656305779528528,0.545217191422056,0.7704466000295436,0.5503036428337379,0.7725638879314589,0.0029265847744427303
5,0.5013471357524395,0.5372398419598255,0.7677786668307995,0.5457362264041629,0.7692156186912207,0.5522667825845256,0.7722684524102614,0.00288581929876693
6,0.49933975413441656,0.5412595361182164,0.7698159660244969,0.5512241649997263,0.7752720468757693,0.5567583620303589,0.777832488059481,0.0028365097862825517
7,0.49576563239097593,0.5448566009487174,0.7715270511479042,0.5499881440532514,0.7721207346496627,0.555686610298978,0.7746811758333744,0.0027789602465311384
8,0.49496153444051744,0.5469967850387186,0.772548778235982,0.5511512491716067,0.7727608449455906,0.5589591141753562,0.7763060711999606,0.0027135254915624215
9,0.4948001652956009,0.5464129645027885,0.7721733243060257,0.5529654299818122,0.7758136786646315,0.5589599019840225,0.7785218376089419,0.002640608948400047
10,0.49493183344602587,0.5484552092007439,0.7732812211485197,0.5462416906133599,0.7733024767344527,0.5516986741469796,0.7759613964252302,0.0025606601717798215
11,0.49276372641324995,0.5483558590962698,0.7730719517449375,0.5544530820386269,0.7765030282140922,0.5584719109928091,0.7783248805948102,0.002474172072495276
12,0.4933526858687401,0.548718984003141,0.7732073613590201,0.5532614887074685,0.775469003889901,0.5607019117251592,0.7788172731301394,0.00238167787843871
13,0.49134079217910764,0.5515679130813493,0.7747337970086785,0.5545942850098396,0.776109114185829,0.5621184958315834,0.7794573834260673,0.002283747847073923
14,0.4922297075390816,0.5506221739964775,0.7744383578506802,0.5570619825251371,0.775518243143434,0.5601784262885185,0.7767492244817569,0.0021809857496093202
15,0.49119199737906455,0.5519411921406591,0.7747461069735951,0.5521651102767426,0.7758136786646315,0.5571579984996385,0.7781279235806785,0.002074025148547635
16,0.49000086858868597,0.5520929334775488,0.7749861512894688,0.5543599655530477,0.7762568319464277,0.5625172538470548,0.7799990152149293,0.0019635254915624212
17,0.4902458474040031,0.5522105294638352,0.7750661660614268,0.5526133447300293,0.7757152001575656,0.5610418326068242,0.7796543404401989,0.0018501680457838584
18,0.49012054726481435,0.5506276280047785,0.7740567489382655,0.5555861295908029,0.777241617017086,0.5603877487561025,0.7793589049190014,0.0017346516975603465
19,0.49050484746694567,0.5516338374951143,0.7748138117806365,0.5514706384136877,0.7754197646363681,0.5594000245710113,0.7791619479048698,0.0016176886435917675
20,0.4895955599844456,0.5520368255136839,0.7748938265525943,0.5576310042070078,0.7756167216504998,0.5626145187363888,0.7777832488059481,0.0015
21,0.4889707826077938,0.5534804576794066,0.7756755093247985,0.5555406375453332,0.7765522674676252,0.5639304114027792,0.7803929292431927,0.0013823113564082328
22,0.4886502556502819,0.5534946109264163,0.7755954945528405,0.5523246650115653,0.7756659609040327,0.5617593525214718,0.7800974937219952,0.0012653483024396542
23,0.48851926773786547,0.5543871224334084,0.7758047639564227,0.5579224660097871,0.7767492244817569,0.56431252878675,0.7795558619331331,0.0011498319542161421
24,0.48818968012928965,0.554848397191414,0.7759832584477134,0.5536730067203587,0.7760106356787632,0.5618888857493969,0.7799005367078635,0.001036474508437579
25,0.48798258006572726,0.5545563399434352,0.7758232289037976,0.5538347248405647,0.776059874932296,0.5655928255270886,0.7816239105815156,0.0009259748514523655
26,0.48755351454019547,0.5566777826074772,0.7770357604480828,0.5564034346962383,0.7768477029888227,0.5640172327666012,0.7803436899896598,0.0008190142503906799
