epoch,train_loss,train_mcc,train_accuracy,val_mcc,val_accuracy,test_mcc,test_accuracy,learning_rate
1,0.5381430823285624,0.48155406349733976,0.7403212900843232,0.53935310572187,0.7679846373528977,0.5473403734621243,0.7715298636072677,0.0009999383162408303
2,0.505466973350483,0.5357281680838256,0.7668985043392627,0.542120070628167,0.7634053867743364,0.5483942357319117,0.7665074597469103,0.0009997532801828658
3,0.4988964615190554,0.5438367242412315,0.7708376931125747,0.5502765565369669,0.771923777635531,0.5593072795414772,0.776059874932296,0.0009994449374809851
4,0.4961323195470954,0.5479780369913968,0.7727642026220225,0.5557849929190961,0.776650745974691,0.561662011179269,0.7791619479048698,0.0009990133642141358
5,0.49453016337733596,0.5494442399727967,0.7735705053240598,0.5532596237235199,0.7738441085233148,0.559639388340213,0.7766999852282239,0.000998458666866564
6,0.49304341426435505,0.5506868974623386,0.7742475533944728,0.555825351919022,0.7756659609040327,0.5617235966914239,0.7781279235806785,0.00099778098230154
7,0.49250139005529053,0.5515208214780942,0.7745676124823044,0.5529454442137925,0.7738933477768477,0.5600627614826564,0.7769461814958886,0.0009969804777275899
8,0.4909123274140388,0.5534895237596044,0.7753123653597587,0.5530468955546303,0.7728100841991236,0.5600117832822257,0.7760106356787632,0.000996057350657239
9,0.4909100759329286,0.55368178086615,0.7756755093247985,0.5550154876570573,0.773696390762716,0.5615280705742067,0.7765030282140922,0.0009950118288582787
10,0.49079151976408447,0.5542125721185718,0.7760263433249215,0.5563215388764141,0.7767984637352898,0.5603068053156522,0.7785218376089419,0.0009938441702975688
11,0.49014181367256354,0.5544081904325026,0.7758663137810057,0.5572970348864807,0.7775862917918165,0.563500154370079,0.7804421684967255,0.000992554663077387
12,0.48959900607477946,0.5542321318606388,0.7757185942020065,0.5554385319322803,0.7740903047909794,0.559196559154089,0.7756659609040327,0.0009911436253643444
13,0.4892619106004823,0.5543805542695266,0.7758293838862559,0.5555564884871041,0.7751243291151706,0.5592940989008937,0.7765522674676252,0.0009896114053108828
14,0.48901989212575947,0.5563235354590702,0.7768695759217086,0.5567375937154048,0.7767984637352898,0.5669547697686433,0.7814269535673839,0.0009879583809693736
15,0.48919840344468,0.5563419029922037,0.7770665353603742,0.5584900349296147,0.7753212861293023,0.5663341078410911,0.7788665123836722,0.0009861849601988382
16,0.4887845393434261,0.5546973518334893,0.776303317535545,0.5591753463784672,0.7774385740312176,0.5642288077922338,0.779605101186666,0.0009842915805643154
17,0.4883710112211839,0.5554983124894486,0.7762786976057118,0.5549110872629353,0.7735979122556502,0.5648088837649684,0.7779802058200798,0.000982278709228899
18,0.48901928839443615,0.5561054890832974,0.776857265956792,0.5586865074511875,0.7769461814958886,0.5647495370762972,0.7795066226796001,0.0009801468428384714
19,0.4881640215339901,0.5561447249583261,0.7768880408690835,0.5551103525728163,0.7764537889605594,0.5629636830572372,0.7799497759613965,0.0009778965073991648
20,0.48807355180476447,0.5561827960790486,0.7767218563427094,0.5543445319982175,0.7724654094243931,0.5597248561407844,0.7747796543404402,0.0009755282581475766
21,0.48717720384867685,0.5583064585563868,0.7776327937465378,0.556206917304103,0.7754197646363681,0.567834732760119,0.7808853217785219,0.0009730426794137723
22,0.48758416749396416,0.5579048942369986,0.7775096940973718,0.557036258736112,0.7758629179181643,0.5665453047986646,0.7800974937219952,0.0009704403844771124
1,0.66820048391819,0.23119108316614118,0.6162245337600788,0.48693358220999694,0.7389827170220099,0.4917924630861821,0.7409030479097937,0.0029979443021318605
2,0.5249047316610813,0.5141534614330068,0.7565950637040685,0.5362189763541937,0.7662612634792456,0.5449624706920133,0.7702988822689448,0.0029917828430524097
