epoch,train_loss,train_mcc,train_accuracy,val_mcc,val_accuracy,test_mcc,test_accuracy,learning_rate
1,0.6715615734457969,0.20101049553163194,0.6011817566319936,0.4932377441394529,0.7465163228125462,0.499801517327235,0.7497661135457186,0.0029953760005996923
2,0.5191494643688201,0.516768298020691,0.757899919985228,0.5391184909784233,0.7688709439164902,0.548009791646861,0.7730562804667881,0.002981532510892707
3,0.5021062657237053,0.540143272332989,0.7692004677786668,0.5332600227564529,0.7563641735191294,0.5451574005541416,0.7620266876754148,0.002958554880596515
4,0.49717788547277453,0.5466828723470204,0.7721917892534006,0.5508113582546731,0.7715298636072677,0.557822030042732,0.7746811758333744,0.0029265847744427303
5,0.4942408539354801,0.548589554319495,0.7731765864467286,0.5528941196282615,0.7726131271849919,0.5582370239954496,0.7746811758333744,0.00288581929876693
6,0.49238995313644407,0.5512184932084552,0.7744691327629716,0.5544526170154267,0.7752228076222365,0.562204674747618,0.7784725983554089,0.0028365097862825517
7,0.49126138240098954,0.5514069442097737,0.7746784021665538,0.5523810230206584,0.7733024767344527,0.558954071477869,0.7760106356787632,0.0027789602465311384
8,0.49036452546715736,0.5536350605250037,0.7756139595002154,0.5541910656122382,0.7759613964252302,0.5613976430555261,0.7790634693978039,0.0027135254915624215
9,0.49029840230941774,0.5526386319353755,0.7750107712193021,0.5534163355409533,0.7721699739031956,0.5575879080956706,0.7738933477768477,0.002640608948400047
10,0.4899143949151039,0.5540460203071992,0.775626269465132,0.5531547971128288,0.7738933477768477,0.5619542630401633,0.7777340095524152,0.0025606601717798215
11,0.48880586102604867,0.5560002165180925,0.7765802917461685,0.5530897644716876,0.7702004037618789,0.5596776396224378,0.773105519720321,0.002474172072495276
12,0.48832316398620607,0.5545688516004129,0.7760878931495045,0.5573488631715835,0.7758629179181643,0.5625593296250977,0.7780786843271456,0.00238167787843871
13,0.48818699195981025,0.5559425288108908,0.7765618267987936,0.5555462593972582,0.7725638879314589,0.5607731601435978,0.7747304150869073,0.002283747847073923
14,0.48781374990940096,0.5558011391622089,0.7767218563427094,0.5571703420175288,0.7764045497070264,0.5656348388761369,0.780245211482594,0.0021809857496093202
15,0.4873856082558632,0.556124416002903,0.7768080260971256,0.5563484008659528,0.7749273721010389,0.5646140830600261,0.7783741198483431,0.002074025148547635
16,0.48757985085248945,0.5579864952279768,0.7776143287991629,0.5556186516593453,0.7774385740312176,0.5612672833682347,0.7800482544684623,0.0019635254915624212
17,0.48678446412086485,0.5568383779279743,0.7773927494306642,0.5590486127050831,0.7764537889605594,0.5649612149866022,0.7788665123836722,0.0018501680457838584
18,0.48656336665153505,0.5563367331836584,0.7769126607989167,0.5571964870328034,0.7746319365798414,0.5646912588215368,0.777881727313014,0.0017346516975603465
19,0.4866403751075268,0.558204525613505,0.7776697236412876,0.5550194895735698,0.7768477029888227,0.5649270599200503,0.7815254320744498,0.0016176886435917675
20,0.48662417009472847,0.5579113680673626,0.7777989782729119,0.5594870126159806,0.7757644394110985,0.5659521402766177,0.7785218376089419,0.0015
21,0.4850151099264622,0.5596440419060958,0.7783775466239922,0.5592647034122631,0.7752228076222365,0.5631970810002613,0.7767492244817569,0.0013823113564082328
22,0.4851754292845726,0.5591621534672747,0.7782790669046593,0.5587813504159639,0.7768969422423556,0.5665555280873827,0.7803929292431927,0.0012653483024396542
23,0.48482649996876714,0.5602485096473251,0.7788576352557395,0.5608741238600133,0.7767984637352898,0.5634718751850968,0.7776355310453493,0.0011498319542161421
24,0.48519316241145133,0.5605391805232918,0.7790422847294886,0.5560370274898824,0.7722684524102614,0.5615326920817413,0.7745826973263086,0.001036474508437579
25,0.4853797979652882,0.5589483399927959,0.7782175170800764,0.5607744684489628,0.7758136786646315,0.5615055871764408,0.7758136786646315,0.0009259748514523655
26,0.484691571444273,0.5600019662452058,0.7786299009047825,0.5577887605353732,0.777881727313014,0.5682447403899559,0.7828056526663055,0.0008190142503906799
27,0.48436876088380815,0.559100117036115,0.7783898565889087,0.5580064855179887,0.7763553104534935,0.5667844073161895,0.780245211482594,0.0007162521529260769
28,0.48465028703212737,0.5612244845392378,0.7791530744137379,0.5577177159036715,0.7759613964252302,0.5660117441268173,0.779605101186666,0.0006183221215612906
29,0.48385821729898454,0.5597899946334427,0.7787776204837816,0.5608551119394125,0.7767984637352898,0.5657122286760728,0.7787187946230735,0.0005258279275047248
30,0.4836571179330349,0.5610435113268347,0.7790915245891549,0.5606521669946283,0.7771923777635531,0.5658730525468781,0.7793589049190014,0.00043933982822017887
31,0.4831018701195717,0.5605862800031761,0.7791038345540715,0.5593920391506689,0.7767492244817569,0.5648413591924764,0.7791127086513369,0.0003593910515999536
